1,258,2.5,1260759144
2,4081,3,1260759179
2,260,3,1260759182
2,9296,2,1260759185
2,2318,4,1260759205
2,26,2,1260759151
2,315,2,1260759187
2,33,2,1260759148
2,301,3.5,1260759125
2,2686,2,1260759131
2,3753,2.5,1260759135
2,8519,1,1260759203
4,70,4,1260759191
4,264,4,1260759139
4,388,3,1260759194
4,18,2,1260759198
4,27,2,1260759108
4,21,2.5,1260759113
4,2,1,1260759200
4,23,3,1260759117
4,24,4,835355493
4,964,5,835355681
4,103,5,835355604
4,255,4,835355552
4,35,4,835355586
4,287,3,835356031
4,337,3,835355749
4,26,4,835355532
4,84,3,835356016
4,58,5,835355395
4,1117,4,835355441
4,660,3,835355493
4,111,3,835355441
4,5,3,835355710
4,413,3,835355511
4,8,3,835355664
4,2172,3,835355511
4,65,5,835355840
4,297,1,835355749
4,45,3,835355552
4,113,3,835355664
4,325,3,835355896
4,476,4,835355511
6,6351,4,835355681
8,2732,5,835355697
8,1432,5,835355586
8,479,3,835355767
8,3020,4,835355779
8,6195,3,835355492
8,614,4,835355395
8,4622,3,835355532
8,9114,4,835356044
8,194,2,835355551
8,14,1,835355918
8,2584,3,835355492
8,55,4,835355441
8,772,4,835355697
8,778,3,835355628
8,1937,3,835355749
8,493,3,835355604
8,362,3,835355619
8,1967,2,835355932
8,529,3,835355968
8,5425,3,835356094
4,1237,3,835355710
4,145,3,835356165
4,36,2,835356246
4,102,3,835355532
4,222,4,835355604
4,200,3,835355511
4,13,4,835355790
4,640,2,835355828
4,693,4,835355643
4,575,3,835355918
4,55,3,835355880
1,268,4,835355731
1,5556,4,835355860
1,3638,4,835355719
1,1796,4,835355817
1,867,4,835355731
1,47,4,835356199
1,2738,3,835355767
4,1296,3,835356109
4,50,5,835355767
4,87,3,835355860
4,86,5,835355817
4,123,3,835355790
4,32,3,835355779
4,28,3,835355441
4,33,5,835355697
4,42,5,835355395
4,249,5,835355395
4,158,3,835355511
4,373,3,835355932
4,184,4,835356141
4,495,4,835355978
4,350,3,1298861675
4,492,4,1298922049
4,219,3.5,1298861637
4,288,3,1298861761
4,11,4.5,1298862418
4,245,5,1298862121
4,301,2.5,1298861589
4,1057,5,1298862167
4,596,2.5,1298923242
4,782,3,1298862528
4,426,3,1298922100
9,397,3,1298923247
9,658,3,1298921840
9,101,2,1298923260
9,344,3.5,1298932787
9,372,4,1298863157
9,943,3,1298861687
9,1923,5,1298932770
9,122,3,1298921795
9,212,4,1298861628
9,1642,3,1298861605
9,317,4,1298861658
9,33,3.5,1298922089
9,26,4.5,1298923236
9,9,4,1298863143
9,81,4,1298921862
9,60,4,1298861753
9,494,3,1298861789
9,238,3,1298862710
9,14,3.5,1298861796
9,570,3,1298924017
9,795,3.5,1298922057
9,2193,4,1298861733
9,11,4,1298921825
9,3417,5,1298862874
9,4139,3,1298861968
9,1055,4,1298861633
9,181,5,1298863174
9,5,3,1298923266
9,119,3.5,1298862672
9,4815,3,1298922080
9,1221,2.5,1298921787
9,1301,3,1298922065
9,1986,3.5,1298861650
9,1057,3,1298932766
9,1037,3.5,1298862555
9,963,3.5,1298932740
9,596,4.5,1298862361
9,1388,4.5,1298862467
9,7868,3,1298922071
9,1407,4,1298922130
9,227,4,949810645
9,213,5,949919556
9,587,5,949810582
9,664,5,949919681
9,476,4,949811346
9,325,3,949811346
9,407,3,949920047
9,1311,5,949779042
9,10,4,949778802
9,76,5,949895708
9,171,3,949810618
11,111,5,949810582
11,11,5,949919763
11,94,5,949919681
11,2559,5,949949538
11,522,4,949895887
11,258,3,949810534
11,408,3,949919883
11,516,3,949895772
11,6944,4,949810688
11,426,1,949920135
11,495,4,949919802
11,574,4,949920028
11,8,4,949811315
11,26,5,949810582
11,33,5,949779091
11,3560,5,949949486
11,233,5,949919938
11,325,3,949810534
11,3703,5,949949538
11,2079,5,949949638
11,1853,4,949982238
11,9606,5,949949444
11,7277,5,949779022
11,115,5,949919189
8,177,4,949919306
11,47,5,949919247
15,8,5,949949396
15,2,4,949919454
15,5,4,949919322
15,101,5,949949638
15,4,5,949949638
15,24,5,949896377
15,11,5,949896377
15,27,5,949949538
15,18,5,949949638
15,21,5,949896244
15,65,5,949919372
15,13,5,949811523
15,33,5,949895732
15,26,5,949778771
15,2903,5,949919399
15,230,5,949896275
15,10,5,949919372
15,76,5,949919419
